Tên chung cư,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích,Mức giá,Số phòng ngủ,Số toilet
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,100.00,5.8,3.00,1
 La Astoria, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,135.00,3,3.00,3
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,143.00,2.4,3.00,
 Celadon City, N1,Sơn Kỳ, Tân Phú,38.00,9.5,2.00,2
 Empire City Thủ Thiêm, Mai Chí Thọ,Thủ Thiêm, Quận 2,51.00,3.7,1.00,2
 Lumiere Boulevard, Nguyễn Xiển,Long Bình, Quận 9,51.00,7.3,2.00,1
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,53.00,7,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,56.00,20,2.00,2
 Empire City Thủ Thiêm, Mai Chí Thọ,Thủ Thiêm, Quận 2,58.00,2.4,2.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,60.00,4.5,2.00,2
 Mỹ Khánh 2, Nguyễn Đức Cảnh,Tân Phong, Quận 7,60.00,2.35,2.00,2
 Hưng Phát, Lê Văn Lương, Phước Kiển, Nhà Bè,67.00,5.5,2.00,2
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,68.00,1.5,2.00,2
 PiCity High Park, Thạnh Xuân 13,Thạnh Xuân, Quận 12,69.70,4.3,2.00,1
 Masteri An Phú, Xa Lộ Hà Nội,Thảo Điền, Quận 2,71.00,6.9,2.00,
 HaDo Centrosa Garden, 3/2,12, Quận 10,71.20,2.8,2.00,2
 New City Thủ Thiêm, Mai Chí Thọ,Bình Khánh, Quận 2,74.00,4.65,1.00,1
 Masteri An Phú, Xa Lộ Hà Nội,Thảo Điền, Quận 2,76.00,1.85,2.00,1
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,78.90,2.8,2.00,1
The Pegasuite,,6, Quận 8,81.00,9.5,2.00,2
 Empire City Thủ Thiêm, Mai Chí Thọ,Thủ Thiêm, Quận 2,82.00,2.3,2.00,
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,85.00,5.6,2.00,1
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,86.00,1.92,2.00,2
 Citi Esto, Nguyễn Thị Định,Cát Lái, Quận 2,87.00,4.417,2.00,2
