Tên Chung Cư,Số,Ngõ,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích ( m²),Mức giá ( tỷ),Hướng nhà,Hướng ban công,Phòng ngủ,Toilet,,,,,,,,,
 Feliz En Vista, ,, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,100,5.8,"Đông - Nam
",Tây - Bắc,3,1,,,,,,,,,
 La Astoria,383,, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,135,3,"Đông - Bắc
",Tây - Nam,3,3,,,,,,,,,
 Akari City Nam Long, ,, Võ Văn Kiệt,An Lạc, Bình Tân,143,2.4,"Đông - Bắc
","Tây - Nam
",3,,,,,,,,,,
 Celadon City, ,, N1,Sơn Kỳ, Tân Phú,38,9.5,"Đông - Bắc
",Tây - Nam,2,2,,,,,,,,,
 Empire City Thủ Thiêm, ,, Mai Chí Thọ,Thủ Thiêm, Quận 2,51,3.7,Đông - Nam,,1,2,,,,,,,,,
 Lumiere Boulevard, ,, Nguyễn Xiển,Long Bình, Quận 9,51,7.3,"Đông - Bắc
","Tây - Nam
",2,1,,,,,,,,,
 Vista Verde, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,53,7,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Estella Heights, ,, Song Hành,An Phú, Quận 2,56,20,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Empire City Thủ Thiêm, ,, Mai Chí Thọ,Thủ Thiêm, Quận 2,58,2.4,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Q7 Saigon Riverside, ,, Đào Trí,Phú Thuận, Quận 7,60,4.5,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Mỹ Khánh 2, ,, Nguyễn Đức Cảnh,Tân Phong, Quận 7,60,2.35,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Hưng Phát, ,, Lê Văn Lương, Phước Kiển, Nhà Bè,67,5.5,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Vinhomes Central Park, ,, Điện Biên Phủ,22, Bình Thạnh,68,1.5,"Nam
 
 
 
 ","Bắc
 
 
 
",2,2,,,,,,,,,
 Richmond City,,,,26, Bình Thạnh,68,2.1,"Tây - Bắc
 ",Đông - Nam,2,1,,,,,,,,,
 PiCity High Park, ,, Thạnh Xuân 13,Thạnh Xuân, Quận 12,69.7,4.3,"Tây - Bắc
 ",Đông - Nam,2,1,,,,,,,,,
 Masteri An Phú, ,, Xa Lộ Hà Nội,Thảo Điền, Quận 2,71,6.9,"Đông - Nam
","Bắc
 
 
 
",2,,,,,,,,,,
 HaDo Centrosa Garden, ,, 3/2,12, Quận 10,71.2,2.8,"Nam
 
 
 
 ","Bắc
 
 
 
",2,2,,,,,,,,,
 New City Thủ Thiêm, ,, Mai Chí Thọ,Bình Khánh, Quận 2,74,4.65,"Nam
 
 
 
 ","Bắc
 
 
 
",1,1,,,,,,,,,
 Masteri An Phú, ,, Xa Lộ Hà Nội,Thảo Điền, Quận 2,76,1.85,"Nam
 
 
 
 ","Bắc
 
 
 
",2,1,,,,,,,,,
 The Western Capital, ,, Lý Chiêu Hoàng,10, Quận 6,78.9,2.8,"Tây - Bắc
 ",Đông - Nam,2,1,,,,,,,,,
The Pegasuite,1002,,,6, Quận 8,81,9.5,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Empire City Thủ Thiêm, ,, Mai Chí Thọ,Thủ Thiêm, Quận 2,82,2.3,"Tây - Bắc
 ",Đông - Nam,2,,,,,,,,,,
